title,date,category,news_source,link,filename,youtube_id,slides,transcript,email,source,type,format
"Arena Cost Increases, U of I Moves for Board Approval",2019-05-15,Letters and Reports,,,arena-cost-increases-u-of-i-moves-for-board-approval-internal-memo-5-15-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Free Speech and Our University Values,2019-04-08,Letters and Reports,,,free-speech-memo-4-8-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
National Farmworker Awareness Week at the University of Idaho,2019-03-28,Letters and Reports,,,natl-farmworker-awareness-week-president-staben-3-28-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
SBOE Approves Construction Request for ICCU Arena,2019-03-14,Letters and Reports,,,sboe-approves-iccu-arena-construction-request-3-14-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Keep Our Values in Mind as We Do Important Work,2019-01-29,Letters and Reports,,,values-memo-1-29-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Posters Do Not Reflect U&nbsp;of&nbsp;I Culture,2018-11-01,Letters and Reports,,,posters-memo-11-1-19.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
External Review Report Complete,2018-07-31,Letters and Reports,,,memo-report-7-31-18.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Full Report,2018-07-31,Letters and Reports,,,external-report-and-appendices-redacted-7-31-18.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Public Summary,2018-07-31,Letters and Reports,,,external-review-public-summary-7-27-18.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Presidential Update,2018-05-25,Letters and Reports,,,presidential-internal-memo.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
State Board of Education Approves Athletics Waiver,2018-04-19,Letters and Reports,,,funding-cap041918.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
We hear you. We must do better. We will,2018-04-03,Letters and Reports,,,we-hear-you.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Further Reflections on Charlottesville,2017-08-25,Letters and Reports,,,reflections_on_charlottesville-082517.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Welcome to a Great Year at UI,2017-08-21,Letters and Reports,,,welcome-2017.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Response to Federal Executive Actions and Proposals,2017-03-22,Letters and Reports,,,"Federal_Impacts_Memo_3,-d-,22,-d-,17.pdf",,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Football Conference Announcement,2016-04-28,Letters and Reports,,,https://perma.cc/LT9N-FDM5,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Vandal Football Consultant Report,2016-05-02,Letters and Reports,,,idaho-report-final.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Thoughts About Recent Tragedy in Oregon,2015-10-02,Letters and Reports,,,orgeon-memo-10-2-15.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
UI Community Safety from President Chuck Staben,2014-09-15,Letters and Reports,,,safety-week-letter-91514.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
Senate Bill 1254 from President Chuck Staben,2014-03-27,Letters and Reports,,,Senate-Bill-1254-Letter-from-President-Staben.pdf,,,,,https://www.uidaho.edu/president/communications/letters-and-reports,Text,application/pdf
